All Establishment Details,,,,,,,,,,,,
Mar-17,,,,,,,,,,,,
Report Date: 05/01/2017 08:52 AM,,,,,,,,,,,,
Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
"1319 Central Park, L.L.C.",120701994,O'Fallon,5,255492.16,233481.83,22010.33,80391,58380.52,22010.48,6603.23,5502.7,1100.53
"14136 LOUNGE, INC.",140702360,Dolton,4,140246.73,126032.98,14213.75,48060,33846.4,14213.6,4264.21,3553.51,710.7
"164 South Route 12, Inc.",120704539,Fox Lake,4,111878.11,102815.9,9062.21,41832,32769.75,9062.25,2718.61,2265.51,453.1
"16th Street Liquors, INC.",120707310,Berwyn,5,324957.25,302437.78,22519.47,103491,80971.67,22519.33,6755.8,5629.83,1125.97
"17 North, LLC",120712727,Waukegan,5,271144.93,250389.11,20755.82,86142,65386.15,20755.85,6226.82,5189.02,1037.8
171 On Main Inc.,120702121,Herscher,5,161771.33,147124.31,14647.02,59303,44655.98,14647.02,4394.16,3661.8,732.36
1715 INC.,120712777,Broadview,5,276848.55,255128.19,21720.36,98870,77149.64,21720.36,6516.18,5430.15,1086.03
"1807 Partners, Inc.",150704028,Melrose Park,5,262980.61,239507.65,23472.96,85779,62305.98,23473.02,7041.94,5868.28,1173.66
"1st Avenue Pub, LLC",160701748,Monmouth,5,232094.7,209066.87,23027.83,71060,48032.17,23027.83,6908.42,5757.01,1151.41
2 Bad Boyz LLC,120709508,Moline,3,115427.22,107987.09,7440.13,32808,25367.87,7440.13,2232.07,1860.06,372.01
"2 COYOTES, LLC",160702250,Grayville,3,96878.28,91227.64,5650.64,23263,17612.36,5650.64,1695.23,1412.69,282.54
"2 Mick's, Inc.",160704203,Forest Park,3,815.65,1236.27,-420.62,471,891.62,-420.62,-126.19,-105.16,-21.03
"2 Sisters Bars, Corp.",120700569,Oak Forest,5,463786.32,436477.95,27308.37,139105,111796.63,27308.37,8192.55,6827.13,1365.42
2-D CORPORATION,120703211,Loves Park,5,355881.72,332871.1,23010.62,101073,78062.38,23010.62,6903.22,5752.69,1150.53
"2-FER'S Pizza & Pub, LLC",130703750,Minooka,5,180673.1,167594.24,13078.86,56282,43203.14,13078.86,3923.69,3269.74,653.95
"20'S HIDEOUT RESTAURANT, LLC",140701334,Marion,5,128096.18,120132.89,7963.29,38324,30360.71,7963.29,2389.06,1990.88,398.18
"2000 Meadows Avenue Tap, Inc.",120703489,East Peoria,5,541596.67,495336.06,46260.61,173268,127007.31,46260.69,13878.29,11565.24,2313.05
"219 Sports Bar, LLC",120708201,Waukegan,5,554360.78,510872.16,43488.62,184212,140723.38,43488.62,13046.64,10872.2,2174.44
"220 N. RANDALL RD, INC.",120700784,Lake In the Hills,5,487369.85,442241.35,45128.5,174162,129033.66,45128.34,13538.54,11282.12,2256.42
2266 S. Sixth LLC,160702619,Springfield,3,34844.3,33677.1,1167.2,12147,10979.47,1167.53,350.27,291.89,58.38
"2475 W. Higgins Road, Inc.",140703478,Hoffman Estates,5,219671.89,194153.3,25518.59,75489,49970.49,25518.51,7655.58,6379.66,1275.92
"251 Pub, Inc.",150701038,Lake In the Hills,5,305142.46,283320.27,21822.19,106924,85101.81,21822.19,6546.7,5455.59,1091.11
"2520 PG, Inc.",160702010,Prairie Grove,5,308406.13,279716.79,28689.34,91119,62429.8,28689.2,8606.83,7172.36,1434.47
"2525 West Higgins Road, Inc.",140703117,Hoffman Estates,3,35217.21,30995.19,4222.02,13836,9613.98,4222.02,1266.62,1055.51,211.11
255 Group Ltd.,130705250,Aurora,5,303492.34,276142.69,27349.65,89233,61883.53,27349.47,8204.86,6837.38,1367.48
"25TH ALLEY LOUNGE, INC.",120709211,Round Lake,5,403007.52,368503.17,34504.35,135034,100529.65,34504.35,10351.34,8626.12,1725.22
"27 Irving Park, LLC",140703638,Schiller Park,5,238322.75,214054.5,24268.25,68668,44399.7,24268.3,7280.55,6067.12,1213.43
2867 CORPORATION,120702167,Morrison,5,103913.22,93562.88,10350.34,38829,28478.66,10350.34,3105.15,2587.62,517.53
2SALESGUYS LLC,160704045,Windsor (Shelby),5,177681.81,164778.31,12903.5,63656,50752.7,12903.3,3871.01,3225.84,645.17
2SALESGUYS LLC,150702987,Effingham,5,343719.48,320412.09,23307.39,144057,120749.61,23307.39,6992.28,5826.9,1165.38
"3 Gam's, Inc.",120711569,Stonington,4,135469.09,123661.54,11807.55,42920,31112.45,11807.55,3542.31,2951.93,590.38
3 MONKEYS INC.,120700672,South Chicago Heights,4,186786.32,170734.14,16052.18,63111,47058.82,16052.18,4815.73,4013.11,802.62
"3's COMPANY, LTD",150702175,West Brooklyn,3,108836.97,97537.78,11299.19,33166,21866.81,11299.19,3389.84,2824.87,564.97
"308 MacArthur, Inc.",120702279,Madison County,5,718499.82,671735.1,46764.72,180975,134210.28,46764.72,14029.49,11691.24,2338.25
312 Corporation,130705111,Oswego,5,274660.64,249481.96,25178.68,101279,76099.59,25179.41,7553.93,6294.95,1258.98
"32 Below, Inc.",150702369,Strasburg,4,148408.75,134346.27,14062.48,48699,34636.72,14062.28,4218.71,3515.59,703.12
"35 Years, LLC Landmark",150700815,Normal,5,306818.7,279980.85,26837.85,104006,77168.15,26837.85,8051.38,6709.49,1341.89
"35 Years, LLC Patriot Center",150700817,Normal,5,382295.29,347624.25,34671.04,130272,95600.96,34671.04,10401.37,8667.81,1733.56
"36 N. Genesee, LLC",160701747,Waukegan,5,157504.66,142399.4,15105.26,55222,40117.01,15104.99,4531.57,3776.31,755.26
"3D OF CRYSTAL LAKE, CORPORATION",160701341,Crystal Lake,3,44572.58,42606.91,1965.67,16093,14127.28,1965.72,589.76,491.47,98.29
3RD BASE LLC,120712649,Greene County,3,32734.38,28926.62,3807.76,11853,8045.24,3807.76,1142.37,951.98,190.39
"4 J'S OF ILLINOIS, INC.",130701425,Ipava,3,59084.74,52282.19,6802.55,16375,9572.8,6802.2,2040.69,1700.58,340.11
"4 Play Pub N' Grub, LLC",130704518,Lake County,4,176844.32,166584.04,10260.28,50649,40388.72,10260.28,3078.09,2565.08,513.01
4 T's Inc.,160703266,Valmeyer,3,20232.45,19609.15,623.3,6537,5913.7,623.3,187.05,155.88,31.17
"4-WAY STOP, INC.",120703515,Villa Grove,5,247743.26,225687.55,22055.71,86973,64986.34,21986.66,6596.02,5496.69,1099.33
"411 EAST, INCORPORATED",160702790,Springfield,4,113424.41,107519.11,5905.3,32930,27024.68,5905.32,1771.64,1476.37,295.27
"45 SOUTH, INC.",130704549,Neoga,5,318945.09,296083.23,22861.86,104153,81291.24,22861.76,6858.57,5715.48,1143.09
459 Randall Crossings Co.,150701461,North Aurora,4,233739.78,215056.9,18682.88,79110,60427.12,18682.88,5604.91,4670.76,934.15
4841 BUTTERFIELD CORPORATION,120705102,Hillside,3,210551.36,193663.6,16887.76,62551,45663.24,16887.76,5066.33,4221.94,844.39
"4ME, INC.",160701975,Vermilion County,5,470605.2,447862.53,22742.67,153503,130760.33,22742.67,6822.82,5685.68,1137.14
"4th & Goal Grill, LLC",160701185,Washington,5,135275.3,124864.33,10410.97,42106,31694.62,10411.38,3123.46,2602.88,520.58
51/50 Saloon Inc.,160700735,Sandoval,5,171682.16,161624.35,10057.81,52920,42862.68,10057.32,3017.24,2514.37,502.87
516 First Street Corp.,140703417,La Salle,3,29226.46,26916.51,2309.95,10322,8012.05,2309.95,693.02,577.52,115.5
"525 GRILL & BAR, INC.",120705512,Chicago Heights,5,519338.83,484163.29,35175.54,148239,113063.66,35175.34,10552.68,8793.9,1758.78
5436 S. HARLEM LLC.,130703962,Summit,5,156089.13,144661.58,11427.55,47252,35824.65,11427.35,3428.22,2856.85,571.37
"5th Street Billiards Bar and Grill, LLC",140704182,Dupo,5,262394.65,244774.83,17619.82,74394,56774.18,17619.82,5286,4405,881
602604 LLC,150700582,Bloomington,3,3098.32,2591.83,506.49,1553,1046.51,506.49,151.96,126.63,25.33
"629 MAIN, INC.",140701683,Peoria,4,127791.23,120296.03,7495.2,39115,31619.7,7495.3,2248.59,1873.83,374.76
"7 Days Market & Restaurant, Inc.",150701214,Johnsburg,3,44490.96,40809.11,3681.85,14998,11316.5,3681.5,1104.47,920.39,184.08
"709 Cut-Rate Package Liquors, Inc.",130704673,Sangamon County,5,516315.62,477048.14,39267.48,199164,159896.56,39267.44,11780.27,9816.89,1963.38
"722 Bonner, LLC",120701453,Wauconda,5,365022.24,348262.63,16759.61,117994,101234.39,16759.61,5027.94,4189.95,837.99
728 INC.,120702095,Winthrop Harbor,4,309801.88,280715.46,29086.42,92250,63163.53,29086.47,8725.96,7271.64,1454.32
7300 Diversey Corp.,120712092,Elmwood Park,5,323775.9,298997.08,24778.82,114840,90061.18,24778.82,7433.72,6194.77,1238.95
7316 CIRCLE CORPORATION,160703750,Forest Park,4,15718.66,13333.16,2385.5,4280,1894.38,2385.62,715.71,596.43,119.28
"750 Cucina Rustica, LLC",160703129,Cary,5,45115.79,42994.26,2121.53,16172,14050.19,2121.81,636.58,530.48,106.1
"7513 West Madison Street, Inc.",160703804,Forest Park,5,155154.72,143391.64,11763.08,56738,44974.54,11763.46,3529.09,2940.91,588.18
8 LANES A WEEK INC.,120700612,Woodstock,2,15096.32,13679.72,1416.6,4204,2787.4,1416.6,425.01,354.18,70.83
"801 North River Road, Inc.",130702849,McHenry County,4,184141.4,169264.19,14877.21,60692,45814.7,14877.3,4463.22,3719.35,743.87
"804 ENTERPRISES, LLC",120711985,Woodstock,5,149726.85,136881.2,12845.65,54659,41813.35,12845.65,3853.71,3211.43,642.28
"820 Club, Inc.",120707497,Streator,4,74547.27,68424,6123.27,21733,15609.73,6123.27,1836.99,1530.83,306.16
"88 Bar & Grill, L.L.C.",130704521,Beardstown,5,213665.33,193542.74,20122.59,59040,38917.61,20122.39,6036.76,5030.64,1006.12
"901 Chateau, LLC",160703777,North Pekin,4,33384.75,30832.23,2552.52,13130,10577.48,2552.52,765.8,638.17,127.63
92 East Inc.,120707137,Fox Lake,5,327723.55,305603.57,22119.98,89014,66894.01,22119.99,6636.01,5530.01,1106
9247 Corp.,120702148,Oak Lawn,5,437809.36,401589.84,36219.52,122297,86077.5,36219.5,10865.94,9054.95,1810.99
"96ERS, INC.",120701392,Crete,5,247626.14,226147.63,21478.51,85809,64330.49,21478.51,6443.61,5369.68,1073.93
"A & A KINNARD, INC.",130703428,Cahokia,5,126487.57,117839.84,8647.73,43063,34415.23,8647.77,2594.35,2161.96,432.39
A & B Gaming LLC,140703665,Belvidere,5,599633.39,552630.2,47003.19,181775,134771.81,47003.19,14101.04,11750.87,2350.17
A & F LTD.,130700204,Carlinville,5,187044.81,169809.76,17235.05,61520,44285.4,17234.6,5170.47,4308.73,861.74
A & F LTD.,130700209,Chesterfield,3,65466.87,59428.57,6038.3,15107,9068.7,6038.3,1811.49,1509.57,301.92
"A & M's Broadway, Inc.",120700142,Central City,5,228204.99,213337.8,14867.19,57338,42470.81,14867.19,4460.18,3716.81,743.37
A & P Hospitality of Illinois LLC,150701151,Calumet Park,5,530102.97,484569.81,45533.16,203970,158436.77,45533.23,13660.03,11383.36,2276.67
"A & S Enterprises of Illinois, LLC",121010810,Carmi,5,801884.45,740786.68,61097.77,180189,119045.7,61143.3,18343.03,15285.86,3057.17
A & S Unlimited Inc.,150701191,La Salle County,5,134088.88,120570.41,13518.47,37701,24182.53,13518.47,4055.55,3379.62,675.93
A G P 18 INCORPORATED,150704443,Belvidere,5,239263.87,220192.73,19071.14,81714,62638.06,19075.94,5722.9,4769.08,953.82
A K ENTERPRISES OF RICHMOND INC.,150702279,Richmond,5,513110.62,468627.45,44483.17,160177,115693.85,44483.15,13345.01,11120.84,2224.17
"A One A, Inc.",140702940,Vandalia,5,88186.45,82034.08,6152.37,25958,19805.54,6152.46,1845.77,1538.15,307.62
A Segura LLC,160701785,Kewanee,4,68320.59,62691.7,5628.89,24870,19240.87,5629.13,1688.77,1407.31,281.46
"A&J Restaurant Enterprises, Inc.",160703255,Ogle County,4,72356.12,67835.57,4520.55,24278,19757.37,4520.63,1356.19,1130.16,226.03
"A&R Gaming, LLC",160704227,East Alton,5,563930.85,520571.72,43359.13,158559,115199.87,43359.13,13007.81,10839.84,2167.97
A'Salute' Inc.,160702452,St. Charles,5,128415.1,117814.35,10600.75,34609,24008.5,10600.5,3180.16,2650.14,530.02
"A. C. FOX, INC.",160701112,Oak Lawn,5,191481.05,176104.88,15376.17,54605,39228.83,15376.17,4612.91,3844.1,768.81
"A. C. Pitstop, Inc.",120702284,Walnut Hill,5,270061.91,245474.45,24587.46,83185,58597.54,24587.46,7376.19,6146.82,1229.37
"A.A.A. M & V, Inc.",130703265,Roscoe,5,1061927.4,981105.3,80822.1,292412,211459.53,80952.47,24285.88,20238.23,4047.65
"A.A.A.M & V, Inc.",140702586,Roscoe,5,752722.21,698207.25,54514.96,219677,165043.24,54633.76,16390.2,13658.5,2731.7
"A.B.E., INC.",121001285,Thomson,4,184390.76,168916.14,15474.62,45711,30236.38,15474.62,4642.45,3868.71,773.74
"A.C. Hicks, Inc.",140700193,Nelson,4,177613.27,164112.71,13500.56,51434,37933.41,13500.59,4050.24,3375.2,675.04
"A.J.'s Lounge of Benson, Inc.",120707733,Benson,3,185712.55,170024.44,15688.11,58824,43135.89,15688.11,4706.46,3922.05,784.41
"A.J.C. Georges, Inc.",120709885,Countryside,5,241882.97,220472.39,21410.58,77944,56533.42,21410.58,6423.21,5352.68,1070.53
A.P.W. Inc.,140703778,West Peoria,3,104940.61,98578.32,6362.29,31578,25215.71,6362.29,1908.74,1590.62,318.12
A.S.GIAN CORPORATION,160701115,Rochelle,5,156031.33,140774.8,15256.53,53973,38716.47,15256.53,4577.04,3814.2,762.84
"AAP SERVICES, INC.",140703403,Pittsfield,5,141629.81,129566.53,12063.28,42978,30914.71,12063.29,3619.1,3015.92,603.18
AARAV1121 Inc.,160703894,Pekin,5,8330.02,6746.66,1583.36,2927,1343.64,1583.36,475.02,395.85,79.17
Aaron B Hicks,120706185,Warren,2,117708.19,110592.67,7115.52,30045,22929.44,7115.56,2134.69,1778.9,355.79
"ABBE LANES BOWLING CENTER, INC.",120704413,Galesburg,5,311602.68,284269.13,27333.55,90277,62943.45,27333.55,8200.09,6833.41,1366.68
"ABE'S HIDEOUT, LLC",160700677,Mechanicsburg,3,66144.1,61225.55,4918.55,21893,16974.45,4918.55,1475.56,1229.64,245.92
ABEL LLC,150701791,Taylor Springs,4,44080.35,41153.45,2926.9,13908,10981.1,2926.9,878.08,731.74,146.34
"ABRUZZO'S DIVISION LOUNGE AND ITALIAN RESTAURANT, INC.",130700290,Melrose Park,4,107146.82,101517.81,5629.01,33100,27470.99,5629.01,1688.77,1407.31,281.46
ACCS Restaurants Columbia LLC,120705277,Columbia,4,245275.12,228261.6,17013.52,70488,53474.48,17013.52,5104.08,4253.4,850.68
"Acees, Inc.",121004486,Metropolis,5,1340932.37,1232256.5,108675.87,357541,249188.94,108352.06,32505.68,27088.07,5417.61
"Acees, Inc.",141001836,Dongola,4,221620.22,202119.51,19500.71,57728,38227.29,19500.71,5850.21,4875.18,975.03
"Acees, Inc.",141001879,Vienna,4,219768.1,206088.13,13679.97,57612,43932.05,13679.95,4103.98,3419.98,684
"Ach-N-Lou's Pizza Pub, Inc.",130706356,Aurora,3,63934.6,59165,4769.6,16433,11663.4,4769.6,1430.95,1192.46,238.49
Achille Foster,160700778,Decatur,5,372204.5,334975.65,37228.85,137781,100551.9,37229.1,11168.71,9307.26,1861.45
Across The Border LLC,160700590,Melrose Park,4,74521,67621.61,6899.39,25623,18723.61,6899.39,2069.84,1724.87,344.97
"ACSWISS, INC.",130702608,Union,4,65714.5,62434.53,3279.97,23577,20297.03,3279.97,984.08,820.07,164.01
"ACTION BILLIARDS, INC.",130701767,Darien,5,474527.71,434115.24,40412.47,147290,106877.53,40412.47,12123.81,10103.17,2020.64
"Adam Harris, Inc.",120705648,Granite City,5,439696.34,408071.14,31625.2,109924,78298.8,31625.2,9487.64,7906.36,1581.28
ADAMS COUNTY AMVETS POST NO. 76 INC.,140903973,Ursa,2,9702.58,8724.04,978.54,4088,3109.55,978.45,293.57,244.64,48.93
"ADCD, Inc.",120700736,Mineral,5,233373.08,219016.39,14356.69,82465,68108.31,14356.69,4307.07,3589.23,717.84
"Addison Post No. 7446, Veterans of Foreign Wars of the United States, Inc.",120905892,Addison,5,134457.95,122799.91,11658.04,39582,27924.21,11657.79,3497.41,2914.51,582.9
ADDISON'S STEAKHOUSE LLC,160703335,McHenry,5,486.25,259.44,226.81,350,123.19,226.81,68.04,56.7,11.34
"ADI of Champaign, Inc.",120707531,Champaign,5,393500.95,361059.41,32441.54,131703,99260.41,32442.59,9732.79,8110.66,1622.13
"ADKINS & SON, INC.",160703671,Germantown Hills,5,130667.78,123051.37,7616.41,41383,33766.59,7616.41,2284.92,1904.1,380.82
"Adriana's Restaurant & Lounge, Incorporated",120700282,Harvard,5,102521.24,95512.54,7008.7,35783,28774.31,7008.69,2102.68,1752.23,350.45
"ADVANCED AMUSEMENT SERVICE, L.L.C.",140700642,Lyons,5,289269.5,268963.48,20306.02,94746,74439.54,20306.46,6091.95,5076.62,1015.33
"ADYA SHAKTI, INC.",150703482,Marseilles,3,19245.03,16675.5,2569.53,6781,4211.47,2569.53,770.87,642.4,128.47
"AEFC, Inc.",120707313,Rockford,5,343766.57,318135.25,25631.32,118844,93212.83,25631.17,7689.44,6407.87,1281.57
Aero Alehouse LLC,140704005,Loves Park,4,206046.04,191778.88,14267.16,64861,50593.84,14267.16,4280.16,3566.8,713.36
"AF TRUCK CENTER, LLC",151002412,Northlake,5,689984.27,629624.38,60359.89,215185,154572.96,60612.04,18183.67,15153.06,3030.61
"After The Fox, Ltd.",120702020,McHenry,5,415194.01,388955.96,26238.05,139577,113338.95,26238.05,7871.44,6559.54,1311.9
AG ENTERTAINMENT INC,120700144,South Elgin,5,559383.19,510115.26,49267.93,191360,142091.97,49268.03,14780.43,12317.02,2463.41
Agim Mehmedi ,130702562,Salem,5,225674.84,213476,12198.84,66834,54635.17,12198.83,3659.72,3049.77,609.95
"Agnandi, Inc.",130705107,Posen,5,558431.84,514135.91,44295.93,166683,122387,44296,13288.84,11074.03,2214.81
"AGR Group, LLC",120709064,Pekin,3,79588.22,70395.58,9192.64,24192,14999.4,9192.6,2757.85,2298.21,459.64
"Ahlstrand and Ahlstrand, Inc.",120704627,Rock Falls,5,316000.1,290642.88,25357.22,100147,74789.95,25357.05,7607.16,6339.31,1267.85
Ahrvt3 Inc.,160700299,Winnebago County,3,91010.32,84777.11,6233.21,25437,19203.79,6233.21,1869.99,1558.32,311.67
AJ & ML Inc.,150703582,Henry County,5,44829.32,41028.55,3800.77,14515,10714.23,3800.77,1140.27,950.23,190.04
"AJ'S BAR & GRILL, INC.",130701423,Arenzville,2,35911.11,32474.57,3436.54,10972,7535.29,3436.71,1031.02,859.19,171.83
"AJ'S PIZZERIA & SPIRITS, LLC",150702109,North Chicago,5,447640.36,412692.72,34947.64,153327,118379.36,34947.64,10484.31,8736.93,1747.38
"AJ's, LLC",150700614,Round Lake Heights,5,500190.6,470173.14,30017.46,160471,130453.54,30017.46,9005.26,7504.39,1500.87
"AJG Industries, Inc.",160700876,Springfield,3,79768.94,71658.54,8110.4,31764,23653.58,8110.42,2433.15,2027.63,405.52
"Akal, Inc.",150703213,Moline,4,41883.16,36851.64,5031.52,13435,8403.47,5031.53,1509.5,1257.92,251.58
"AKMJ ENTERPRISES, INC.",150700444,Freeport,5,349849.66,320684.57,29165.09,124580,95414.91,29165.09,8749.65,7291.38,1458.27
"Al & Joe's Foods & Liquors, Inc.",120710147,Franklin Park,4,141060.75,129292.81,11767.94,40685,28917.07,11767.93,3530.48,2942.07,588.41
"Al's Bella Vista, Inc.",120709416,La Salle,2,22735.65,20557.8,2177.85,7805,5627.3,2177.7,653.33,544.44,108.89
"Al's Place, Inc.",120710503,Sullivan,5,52443.12,48725.13,3717.99,17395,13677.01,3717.99,1115.4,929.5,185.9
"ALAMO FOODS, INC.",120708004,Chatham,5,400373.28,381612.22,18761.06,121842,103080.63,18761.37,5628.54,4690.45,938.09
"ALAMO FOODS, INC.",120708006,Springfield,5,242854.59,230445.18,12409.41,81644,69234.59,12409.41,3722.88,3102.4,620.48
ALAN MYERS,140704064,Bartonville,5,282002.95,258800.38,23202.57,83448,60245.43,23202.57,6960.78,5800.65,1160.13
"Albert Parker Post No. 620, The American Legion, Department of Illinois",140902356,Bement,3,128910.24,120885.86,8024.38,32019,23994.62,8024.38,2407.33,2006.11,401.22
"Albion Browns Post #590 American Legion, Inc.",130905306,Albion,4,59897.62,54000.62,5897,14160,8263.3,5896.7,1769.08,1474.24,294.84
Alc Corp.,140700829,Schiller Park,5,178097.74,165196.8,12900.94,55302,42401.23,12900.77,3870.22,3225.19,645.03
"Alejandra's Mexican Cuisine, Inc.",140700849,Northlake,2,45415.68,42579.39,2836.29,11305,8468.71,2836.29,850.91,709.09,141.82
"Alexander Seven, Inc.",120705208,Romeoville,5,267713.44,249858.14,17855.3,78778,60922.7,17855.3,5356.63,4463.86,892.77
"ALEXANDER'S RESTAURANT, INC.",130702326,Elgin,2,60731.92,56336.6,4395.32,16973,12578.04,4394.96,1318.53,1098.78,219.75
"Alfano's Restaurant, LTD.",140701980,Oregon,4,81505.62,73528.49,7977.13,26660,18682.87,7977.13,2393.23,1994.36,398.87
"Alfonso & Mau, Inc.",160702101,Beach Park,5,87976.84,82914.82,5062.02,31835,26772.98,5062.02,1518.63,1265.52,253.11
ALGONQUIN SUSHI KING INC.,160702801,Algonquin,5,14593.14,12808.16,1784.98,5515,3730.18,1784.82,535.51,446.26,89.25
ALIBI BAR & GRILL LTD.,150704430,St. Charles,5,25724.13,23644.41,2079.72,9851,7771.28,2079.72,623.89,519.91,103.98
Alice B Krainock ,120707499,Danville,3,136984.43,125170.09,11814.34,48733,36918.66,11814.34,3544.36,2953.63,590.73
Alice Coloni,120701373,Sesser,4,154699.82,140547.59,14152.23,49816,35663.84,14152.16,4245.71,3538.1,707.61
All American Group LLC,160701558,Petersburg,5,151148.01,138270.03,12877.98,48259,35381.02,12877.98,3863.44,3219.53,643.91
"ALL SPORTS BAR & GRILL, INC.",120706714,McCullom Lake,5,178888.37,163376.8,15511.57,68127,52615.43,15511.57,4653.58,3877.99,775.59
"ALL-INN, INC.",140700568,Morton Grove,5,628635.68,580292.42,48343.26,184030,135686.75,48343.25,14503.01,12085.85,2417.16
Allen L. Snow,140702863,Minonk,4,125263.01,115142.98,10120.03,31976,21855.97,10120.03,3036.04,2530.04,506
"Alley 64, INC.",160702383,St. Charles,5,441315.12,408140.43,33174.69,159163,125988.31,33174.69,9952.46,8293.72,1658.74
"ALLEY LOOP ENTERPRISES, LTD. ",120709777,Dixon,5,333917.25,308358.48,25558.77,91931,66372.23,25558.77,7667.66,6389.72,1277.94
ALONSO LLC,150702720,Waukegan,5,351552.95,327100.41,24452.54,126795,102342.46,24452.54,7335.78,6113.16,1222.62
"Aloste, Inc.",120704411,Chicago Heights,5,343262.94,302926.7,40336.24,120514,80177.73,40336.27,12100.95,10084.13,2016.82
"AlphaBravo, LLC",120703137,East Peoria,5,245121.46,228586.34,16535.12,73064,56528.73,16535.27,4960.64,4133.87,826.77
"Alsip Memorial V.F.W. Post 450, Inc.",120907757,Alsip,5,248124.5,238888.99,9235.51,76211,66975.49,9235.51,2770.71,2308.92,461.79
"ALSIP RESTAURANT AND LOUNGE, INC.",130700172,Alsip,5,522780.94,478760.78,44020.16,162958,118937.84,44020.16,13206.07,11005.06,2201.01
Alton KG Management LLC,150701239,Alton,3,108215.75,98386.44,9829.31,32103,22273.69,9829.31,2948.8,2457.33,491.47
"Alton Lodge No. 951, Loyal Order of Moose",120801982,Godfrey,5,286338.12,263141.83,23196.29,82022,58825.71,23196.29,6958.94,5799.12,1159.82
Alton Motorboat Club,120707317,Jersey County,3,22238.28,21080.48,1157.8,5937,4779.2,1157.8,347.34,289.45,57.89
